student_id,attendance_pct,study_hours_week,assignment_score,internal_marks,prev_sem_cgpa,activity_score,final_exam_marks
S00077,80.9,13.4,59.2,70.9,9.09,27.8,68.06
S00078,77.0,10.5,63.6,66.2,7.11,80.6,63.2
S00079,80.9,20.5,59.5,64.4,7.2,45.1,58.61
S00080,60.1,10.7,44.1,48.8,7.31,43.1,44.18
S00081,77.8,30.9,59.6,81.8,7.83,43.0,64.6
S00082,83.6,8.8,36.8,54.1,6.8,71.2,50.24
S00083,94.8,19.9,40.4,64.0,4.03,49.7,57.95
S00084,74.8,29.0,62.2,70.9,8.93,41.7,64.65
S00085,71.9,22.2,58.4,66.7,9.65,46.5,79.19
S00086,75.0,19.2,50.5,67.6,6.77,19.1,62.01
S00087,89.2,11.2,49.1,65.3,6.22,38.2,56.74
S00088,83.3,8.3,49.6,61.2,7.34,30.2,55.54
S00089,74.7,23.4,52.1,68.7,7.27,49.6,54.54
S00090,85.1,28.5,54.2,83.5,8.69,68.3,66.52
S00091,81.0,14.9,50.3,59.2,7.57,66.1,67.31
S00092,89.7,10.0,42.2,61.5,6.55,80.1,66.77
S00093,73.0,1.0,36.2,46.4,5.92,75.7,30.94
S00094,76.7,11.1,59.3,61.6,8.54,44.4,62.32
S00095,76.1,17.2,51.7,59.0,8.22,55.4,68.4
S00096,65.4,29.2,58.6,75.0,8.77,54.3,66.6
S00097,83.0,22.7,51.7,54.2,6.34,12.0,67.07
S00098,82.6,20.1,57.9,74.4,9.71,30.7,72.61
S00099,80.1,15.2,38.9,49.6,5.41,51.7,53.88
S00100,77.7,13.9,50.3,72.1,8.35,51.5,59.82
S00101,65.8,27.8,45.1,53.0,5.21,65.2,56.81
S00102,75.8,19.4,51.9,59.1,6.55,64.3,56.34
S00103,76.6,3.3,52.8,71.4,9.37,19.6,58.45
S00104,72.0,13.3,55.1,68.0,8.5,65.4,62.45
S00105,78.4,12.0,38.7,58.1,6.84,58.6,50.95
S00106,84.0,14.2,55.5,68.3,6.88,67.5,49.87
S00107,98.9,21.9,52.6,65.4,7.62,76.3,67.2
S00108,81.7,17.2,60.1,72.4,8.12,52.1,59.19
S00109,82.6,17.5,60.2,69.8,9.0,79.9,61.04
S00110,79.3,27.2,41.9,62.3,6.95,37.2,56.92
S00111,60.8,13.1,43.4,52.1,5.57,36.1,52.22
S00112,79.7,31.0,62.6,65.7,7.69,63.6,63.45
S00113,80.6,13.3,56.7,66.7,6.95,47.6,54.2
S00114,100.0,18.6,49.0,64.7,5.94,60.2,67.18
S00115,78.1,16.0,53.1,57.7,7.86,94.9,56.83
S00116,83.0,18.9,56.7,65.5,7.24,62.9,56.67
S00117,79.7,21.1,58.5,67.8,7.87,59.2,70.19
S00118,68.3,21.0,48.8,60.5,6.43,37.6,55.61
S00119,91.4,12.7,53.1,55.7,8.08,21.0,59.27
S00120,87.5,10.1,53.1,63.5,5.92,53.5,55.55
S00121,87.9,35.5,62.9,69.9,6.51,76.3,76.04
S00122,70.9,14.6,46.5,61.6,7.21,48.5,59.65
S00123,94.0,22.9,59.4,76.2,9.59,63.0,72.91
S00124,66.0,6.7,42.9,53.7,8.44,83.5,43.35
S00125,85.9,16.0,65.3,72.2,8.79,83.0,70.92
S00126,100.0,17.1,68.6,81.3,9.2,63.6,72.53
S00127,70.1,21.3,57.5,73.3,10.0,58.4,72.73
S00128,74.3,1.0,44.1,50.8,7.55,24.6,41.47
S00129,81.0,19.2,47.3,64.2,9.2,42.4,61.04
S00130,75.0,10.0,51.2,70.0,8.72,49.4,50.31
S00131,64.5,20.3,44.6,57.3,8.7,38.0,61.92
S00132,80.7,10.7,57.4,70.6,9.63,60.0,71.31
S00133,69.4,12.0,52.7,52.4,7.0,93.2,52.45
S00134,84.7,16.1,45.2,52.3,6.9,85.4,57.07
S00135,70.8,10.6,49.6,54.0,7.88,59.9,49.58
S00136,95.5,14.7,61.0,67.4,7.28,70.6,61.49
S00137,72.2,9.6,49.6,64.6,7.88,40.4,59.57
S00138,76.8,5.2,49.6,68.5,9.38,84.3,56.54
S00139,88.1,25.1,55.1,58.3,6.93,23.8,65.9
S00140,67.7,8.9,50.2,53.9,7.13,73.3,52.61
S00141,82.3,16.7,54.6,69.2,7.71,64.9,67.96
S00142,93.1,23.3,56.8,69.7,7.23,39.9,64.75
S00143,63.9,13.7,46.0,58.5,5.2,50.8,56.64
S00144,81.8,12.2,51.9,65.0,6.8,32.3,68.25
S00145,82.6,19.6,48.6,63.9,8.32,33.2,51.67
S00146,87.8,25.8,65.8,76.0,9.23,23.2,71.85
S00147,67.6,9.8,47.4,53.4,6.11,70.4,50.17
S00148,66.8,16.9,36.2,46.3,6.11,79.1,46.21
S00149,85.2,5.9,36.4,61.2,7.54,11.8,53.51
S00150,83.0,15.2,38.4,57.4,5.01,91.8,61.35
S00151,82.5,18.2,50.7,65.3,6.97,54.8,49.15
S00152,83.5,12.0,51.1,60.2,5.42,60.8,43.16
S00153,73.2,14.8,48.6,57.9,9.14,25.6,67.46
S00154,82.3,8.1,50.3,62.3,6.58,81.4,55.1
S00155,82.9,18.5,41.7,65.3,9.48,59.0,63.95
S00156,72.9,25.4,57.3,78.1,8.84,77.8,63.68
S00157,98.7,10.3,50.5,59.1,6.72,79.4,60.57
S00158,84.7,13.6,60.9,61.6,6.21,81.7,69.13
S00159,68.1,21.5,37.6,46.8,7.27,42.0,56.04
S00160,86.6,26.5,56.2,68.0,7.37,50.8,68.7
S00161,70.3,7.5,35.8,44.2,7.92,42.8,36.79
S00162,87.9,16.8,48.0,68.4,6.57,72.9,66.28
S00163,91.6,20.0,48.7,73.6,8.4,61.7,67.39
S00164,71.8,17.3,64.2,65.9,7.82,76.4,59.95
S00165,89.6,1.0,46.3,54.8,7.09,77.3,56.95
S00166,84.1,21.5,50.6,55.9,6.65,20.5,53.59
S00167,88.2,28.6,57.0,66.6,7.28,82.0,73.47
S00168,99.0,18.8,48.3,69.4,6.52,74.0,72.47
S00169,77.5,10.8,55.7,59.1,7.57,47.6,57.92
S00170,72.5,14.4,52.9,70.8,7.6,62.0,57.6
S00171,71.1,30.4,59.7,75.1,7.81,52.5,65.6
S00172,71.8,24.4,50.7,66.5,9.62,67.3,68.72
S00173,79.2,22.5,59.6,65.0,7.34,47.6,61.55
S00174,83.4,20.5,63.6,69.6,8.71,64.6,82.92
S00175,82.8,13.4,50.9,71.7,7.78,56.3,53.01
S00176,88.3,16.6,58.7,64.8,7.21,46.4,62.08
S00177,80.1,17.5,53.2,68.6,7.36,58.8,63.74
S00178,94.5,21.8,47.9,67.3,7.43,100.0,68.73
S00179,77.4,28.6,54.5,70.6,7.84,41.3,63.64
S00180,100.0,25.8,54.2,66.0,6.35,50.0,74.94
S00181,86.3,8.1,46.1,55.9,5.74,41.6,55.94
S00182,71.4,19.6,58.5,65.6,8.29,43.7,66.86
S00183,69.3,23.2,43.9,57.5,8.58,71.3,56.85
S00184,84.8,22.3,54.9,75.4,8.39,69.3,66.6
S00185,77.8,13.6,45.7,56.2,7.69,54.9,59.17
S00186,87.1,38.4,58.7,72.1,8.42,75.5,70.45
S00187,84.7,9.1,48.4,70.3,8.36,70.9,64.78
S00188,79.3,10.4,52.8,69.9,8.45,51.8,59.67
S00189,71.5,19.6,50.1,66.7,6.47,24.3,63.71
S00190,64.9,32.8,50.3,49.7,6.18,71.6,57.85
S00191,75.5,12.1,48.7,59.9,7.03,58.4,66.57
S00192,88.6,16.1,57.8,68.7,7.48,55.4,66.63
S00193,82.1,25.5,68.5,69.3,7.21,45.7,71.57
S00194,67.5,17.9,42.4,53.3,5.25,69.9,47.8
S00195,81.7,15.7,64.2,71.2,9.57,62.0,69.36
S00196,83.9,22.0,59.3,68.9,7.17,50.3,62.14
S00197,71.2,19.9,61.3,82.7,7.71,30.5,55.74
S00198,81.5,25.2,62.6,74.7,8.99,76.4,71.12
S00199,80.6,27.0,41.6,58.0,4.69,67.1,65.41
S00200,68.6,20.1,49.3,62.7,6.89,60.1,58.02
S00201,83.6,20.0,53.9,66.1,7.04,1.9,58.5
S00202,85.6,19.5,57.9,61.9,7.1,54.2,61.26
S00203,90.8,21.4,50.5,58.6,7.29,50.2,76.41
S00204,90.5,18.4,68.2,76.8,9.24,42.6,74.92
S00205,66.2,18.0,50.4,59.3,8.31,70.1,49.61
S00206,70.6,26.4,60.4,58.7,8.65,69.3,62.84
S00207,85.2,28.6,59.0,78.8,7.56,63.7,69.41
S00208,85.1,7.4,46.1,57.8,5.82,75.8,49.3
S00209,85.2,18.1,47.6,65.8,5.0,34.6,57.36
S00210,100.0,13.2,55.1,55.1,5.66,45.9,55.26
S00211,85.7,15.8,66.2,78.9,7.93,56.5,64.83
S00212,91.4,20.8,44.4,62.4,7.54,42.6,63.25
S00213,89.5,22.7,58.9,76.3,7.25,69.5,60.13
S00214,86.5,17.2,52.7,66.1,7.06,44.6,48.62
S00215,76.8,4.6,53.2,67.4,9.91,81.0,67.91
S00216,87.6,11.2,35.1,58.1,6.51,36.4,57.78
S00217,72.3,24.3,58.6,65.6,8.61,97.6,70.09
S00218,77.6,1.0,45.4,53.4,7.5,95.6,53.59
S00219,75.1,26.3,48.0,60.6,7.43,53.1,61.11
S00220,80.8,21.6,58.0,62.7,8.91,77.9,85.28
S00221,100.0,27.2,64.5,77.9,9.26,47.0,77.97
S00222,61.3,16.6,34.7,46.9,7.21,75.3,66.21
S00223,86.9,3.6,53.1,57.5,8.46,51.5,68.72
S00224,63.9,21.0,53.0,63.2,7.94,29.3,61.49
S00225,75.3,26.9,50.2,63.7,7.51,0.0,59.8
S00226,90.9,24.5,59.7,73.3,7.75,49.6,69.85
S00227,80.6,13.4,49.0,63.6,6.67,60.6,55.23
S00228,69.2,18.6,54.2,59.7,7.13,81.6,62.44
S00229,72.8,14.3,46.1,52.4,6.8,55.7,57.64
S00230,86.8,12.3,60.4,71.6,8.58,75.1,58.49
S00231,72.7,24.7,49.8,47.4,7.39,45.9,74.0
S00232,82.2,9.6,57.3,61.0,5.94,48.3,51.01
S00233,80.5,11.7,45.1,61.9,6.63,76.1,40.33
S00234,73.5,10.3,32.1,49.7,3.66,5.7,40.92
S00235,100.0,7.6,52.5,63.8,6.91,55.3,52.86
S00236,86.3,19.0,50.1,54.0,7.55,47.0,59.9
S00237,59.7,26.1,40.6,41.5,7.34,82.2,55.51
S00238,81.9,16.7,63.8,76.7,9.88,44.4,71.6
S00239,73.4,7.5,30.5,50.5,8.19,65.3,55.78
S00240,88.5,23.9,54.1,79.9,8.14,73.4,64.94
S00241,72.1,29.8,39.4,48.0,5.53,25.1,52.52
S00242,78.9,13.5,49.9,62.4,7.06,52.2,61.5
S00243,85.0,14.7,37.7,66.0,6.92,46.4,53.0
S00244,88.7,21.6,56.3,68.1,6.56,73.9,54.47
S00245,68.0,29.4,53.1,53.3,6.54,68.5,64.87
S00246,76.7,14.4,33.7,64.2,5.33,50.3,48.4
S00247,75.3,8.7,44.3,62.1,5.97,34.1,47.05
S00248,73.5,22.4,57.8,66.1,8.55,75.8,66.76
S00249,97.7,23.6,64.3,79.0,7.33,53.6,72.37
S00250,84.0,18.0,42.7,64.2,6.89,22.6,63.67
S00251,67.4,14.1,37.4,56.5,7.49,24.4,43.49
S00252,89.2,25.0,70.2,71.3,8.9,63.8,87.35
S00253,100.0,21.7,54.3,73.2,7.51,29.5,59.39
S00254,90.3,12.6,52.3,74.4,8.15,92.2,63.53
S00255,64.8,18.3,48.4,58.4,6.48,36.3,48.8
S00256,75.2,8.5,38.5,55.3,6.76,55.0,50.8
S00257,92.7,22.8,57.1,68.9,7.92,58.2,68.76
S00258,72.9,16.2,61.6,65.1,9.77,40.4,64.78
S00259,84.4,15.0,49.1,58.9,9.22,10.2,61.03
S00260,87.7,17.8,53.5,71.8,8.2,58.8,73.58
S00261,70.7,18.3,43.2,56.8,7.68,39.9,56.73
S00262,79.4,24.3,54.3,62.6,9.18,57.3,75.0
S00263,47.6,22.1,53.6,62.4,8.45,52.6,47.38
S00264,69.8,16.9,48.9,50.8,4.75,60.3,38.42
S00265,77.5,23.3,50.8,56.9,6.24,86.2,61.83
S00266,67.5,20.8,53.6,59.7,7.91,44.1,61.44
S00267,96.3,15.0,52.7,63.0,5.36,45.6,56.19
S00268,65.7,17.1,40.3,54.8,6.42,21.7,50.42
S00269,75.6,17.0,49.4,55.1,6.66,51.1,62.56
S00270,81.3,21.5,44.9,66.6,7.19,63.2,66.1
S00271,94.4,15.4,48.8,68.0,7.16,45.3,60.13
S00272,65.6,15.3,45.4,53.0,7.15,63.3,54.67
S00273,91.6,31.8,56.5,73.3,8.49,51.4,78.27
S00274,80.1,24.6,45.6,60.0,7.18,29.0,52.9
S00275,70.2,12.7,41.8,55.0,7.04,61.2,47.83
S00276,84.6,22.0,56.8,72.3,5.88,50.9,69.42
S00277,82.0,18.8,66.0,70.5,8.73,57.5,57.65
S00278,74.0,20.7,48.5,60.6,6.69,43.7,51.52
S00279,80.7,19.0,52.2,58.2,6.2,41.9,50.75
S00280,76.1,26.3,50.9,67.2,7.76,58.1,70.61
S00281,81.1,20.4,38.0,58.6,6.58,50.4,50.52
S00282,86.6,17.6,46.7,69.0,6.87,89.5,67.79
S00283,95.9,25.3,58.2,69.1,7.81,71.0,69.03
S00284,67.6,19.6,48.6,61.7,7.11,65.9,68.94
S00285,100.0,18.9,65.3,86.6,10.0,51.5,77.09
S00286,60.5,20.2,45.0,53.3,7.41,14.5,58.96
S00287,78.5,17.3,50.2,63.3,8.24,38.8,63.18
S00288,85.9,18.1,49.0,60.7,5.17,42.1,54.28
S00289,82.8,13.9,40.4,55.8,6.47,49.5,54.08
S00290,73.8,12.7,49.5,58.0,6.2,54.3,53.99
S00291,77.9,11.0,42.3,58.8,6.35,68.1,50.88
S00292,75.1,8.3,61.5,64.4,8.0,60.5,64.21
S00293,74.1,11.8,50.3,61.8,8.74,78.2,74.59
S00294,88.5,16.8,52.6,68.5,7.91,48.8,64.38
S00295,83.6,18.7,49.2,61.4,7.23,60.1,65.3
S00296,73.1,16.1,44.3,55.0,6.74,61.9,58.01
S00297,89.0,1.5,57.3,63.1,8.84,59.9,43.15
S00298,83.1,29.0,63.7,76.6,9.99,80.6,79.52
S00299,88.1,25.6,63.3,75.0,7.66,71.1,74.37
S00300,86.3,21.1,61.1,70.9,8.63,28.6,59.94
S00301,71.7,31.4,55.2,62.5,7.91,52.7,55.59
S00302,74.4,11.2,53.2,62.4,8.41,54.7,60.88
S00303,87.5,31.2,61.4,71.9,6.1,98.0,81.97
S00304,86.1,11.2,54.0,64.4,6.91,48.4,56.48
S00305,79.8,19.7,55.7,77.7,7.97,35.4,63.11
S00306,81.2,9.1,56.6,63.6,8.95,63.8,74.78
S00307,92.8,18.1,46.1,62.6,6.52,64.9,66.74
S00308,74.1,20.7,59.3,64.6,5.06,53.5,51.76
S00309,85.5,16.9,54.8,61.6,6.9,50.6,56.5
S00310,78.0,23.0,60.5,79.8,8.71,74.0,83.7
S00311,77.8,18.7,45.8,57.0,5.6,37.9,50.76
S00312,91.0,14.3,36.2,60.0,6.09,48.2,52.15
S00313,88.3,14.0,52.3,66.0,7.69,44.6,65.33
S00314,88.1,23.7,56.3,74.1,7.36,76.9,67.53
S00315,93.1,13.4,51.8,62.7,8.21,60.7,65.5
S00316,80.2,24.4,44.7,67.3,6.03,33.7,61.75
S00317,86.8,26.6,53.6,68.8,7.11,35.7,65.22
S00318,76.9,6.3,56.5,68.2,8.93,92.5,68.41
S00319,83.2,25.9,58.8,62.7,6.07,76.7,57.75
S00320,78.7,32.4,62.5,76.1,9.27,71.8,76.08
S00321,81.0,19.8,45.7,54.6,6.22,55.2,53.64
S00322,86.0,22.2,56.1,76.1,8.52,85.2,80.37
S00323,71.8,25.3,51.2,55.3,7.05,32.9,58.06
S00324,100.0,16.1,54.7,68.5,6.13,70.1,76.0
S00325,69.9,19.3,50.3,57.3,6.9,46.1,54.2
S00326,67.9,8.8,44.9,48.8,8.15,50.0,51.61
S00327,91.6,19.0,59.0,65.6,7.49,69.5,72.92
S00328,87.9,21.5,62.3,76.0,8.84,52.1,64.93
S00329,86.2,21.6,57.9,67.8,9.22,46.3,77.2
S00330,86.3,25.5,41.7,57.0,6.08,45.1,59.86
S00331,79.9,12.6,40.5,56.8,5.99,15.3,53.26
S00332,71.0,14.3,53.0,62.1,5.93,70.3,59.25
S00333,80.8,31.3,43.1,64.5,6.42,34.9,62.49
S00334,73.2,16.9,61.6,67.8,8.83,92.2,61.05
S00335,89.8,19.4,47.1,67.5,8.17,49.2,64.78
S00336,78.5,17.5,44.9,59.7,6.85,81.2,46.68
S00337,71.7,12.2,45.5,52.3,7.49,18.8,43.66
S00338,76.8,29.4,70.4,77.5,9.19,69.6,74.41
S00339,84.1,14.3,59.2,66.5,9.79,74.8,76.03
S00340,74.4,10.1,47.6,62.3,7.81,81.1,66.22
S00341,71.8,14.8,33.5,47.5,4.31,24.4,50.71
S00342,82.4,4.0,52.7,51.6,7.86,40.9,43.71
S00343,82.4,13.4,51.7,70.5,8.62,66.5,64.98
S00344,74.9,11.2,47.9,57.1,7.77,58.0,50.36
S00345,75.3,22.3,52.5,62.3,8.37,60.9,63.13
S00346,82.3,13.3,56.9,71.1,7.93,47.8,67.98
S00347,65.5,24.2,49.8,56.2,6.02,86.0,62.34
S00348,65.9,27.8,42.4,58.8,6.44,100.0,68.12
S00349,72.8,23.5,46.7,56.7,7.11,57.1,50.75
S00350,77.9,16.5,50.5,68.8,8.78,64.1,56.99
S00351,83.1,19.0,51.7,64.0,6.58,56.1,69.91
S00352,94.8,7.3,60.3,72.3,8.05,80.7,73.96
S00353,88.6,17.1,56.7,67.9,7.86,71.6,65.48
S00354,78.4,12.0,42.3,70.1,9.4,33.7,59.13
S00355,79.8,22.9,58.0,76.5,7.45,42.7,73.36
S00356,70.0,36.0,40.3,44.9,5.39,34.8,60.06
S00357,79.8,21.5,51.2,70.4,8.28,100.0,70.88
S00358,77.1,4.1,55.6,60.9,10.0,67.7,53.36
S00359,83.2,15.5,54.3,69.4,8.35,43.1,69.85
S00360,71.7,18.9,52.3,50.8,6.55,41.5,54.06
S00361,85.2,18.6,46.3,62.6,6.2,71.1,51.6
S00362,95.3,12.9,45.9,58.3,6.36,73.1,54.14
S00363,78.9,19.7,57.6,68.6,9.9,71.0,64.62
S00364,84.0,9.3,55.3,61.4,7.11,46.5,66.14
S00365,86.9,11.4,53.5,59.7,6.7,61.1,54.02
S00366,76.0,22.5,52.3,59.8,7.31,57.2,63.75
S00367,82.2,10.9,57.4,62.3,7.12,36.3,45.05
S00368,80.1,21.8,65.8,73.2,9.38,36.5,75.02
S00369,81.0,8.4,50.5,60.5,6.28,63.2,49.98
S00370,72.3,30.4,50.8,75.9,8.92,58.9,71.95
S00371,80.2,12.6,55.6,59.7,7.65,66.1,61.82
S00372,85.0,16.4,56.2,70.2,8.95,70.8,70.34
S00373,94.5,20.3,60.5,79.7,9.4,85.0,76.32
S00374,89.6,14.0,50.0,61.6,7.6,39.5,71.34
S00375,100.0,19.0,56.2,59.7,7.12,67.6,66.95
S00376,72.3,22.0,47.5,51.2,7.58,70.0,72.37
S00377,88.7,24.7,57.5,58.8,7.39,48.8,69.33
S00378,81.8,23.5,47.4,67.5,5.51,57.4,62.58
S00379,100.0,16.8,64.6,81.4,9.36,49.3,78.53
S00380,71.9,17.0,53.6,66.1,7.79,97.2,63.6
S00381,71.6,34.4,48.7,65.7,6.1,57.1,67.23
S00382,74.0,24.6,40.5,51.0,5.02,64.0,56.88
S00383,58.8,11.5,23.3,50.4,4.71,49.7,42.67
S00384,74.7,18.7,58.1,68.4,8.42,45.4,76.18
S00385,72.4,15.7,47.3,57.3,6.76,29.0,67.58
S00386,81.5,17.1,49.6,67.5,6.95,77.0,63.54
S00387,83.4,9.4,59.2,70.3,8.09,70.4,69.97
S00388,98.8,15.1,47.2,72.3,6.88,49.0,70.36
S00389,89.5,30.7,61.2,81.4,8.16,37.0,80.7
S00390,74.2,22.1,46.2,59.1,7.61,58.6,63.33
S00391,71.0,1.0,47.7,56.4,7.4,45.0,52.8
S00392,84.9,26.5,37.2,52.9,5.61,50.6,61.17
S00393,66.8,25.6,52.4,51.6,6.52,29.7,52.49
S00394,98.3,15.5,63.6,79.0,8.22,59.3,69.96
S00395,91.8,23.0,49.2,70.5,6.68,59.7,58.36
S00396,75.3,12.0,53.6,54.7,8.95,76.9,62.75
S00397,62.9,14.7,48.0,57.8,10.0,52.0,60.45
S00398,93.5,28.5,64.4,77.0,8.29,48.3,78.68
S00399,78.9,16.1,61.5,71.2,9.29,23.9,59.93
S00400,92.4,4.9,48.3,75.1,8.36,77.0,67.52
S00401,64.1,17.6,37.5,48.7,6.86,72.9,54.61
S00402,74.0,17.4,57.4,63.7,7.74,55.6,74.56
S00403,80.1,26.4,73.6,82.4,9.92,28.4,80.08
S00404,80.5,18.1,53.4,61.5,6.87,30.7,55.37
S00405,75.5,15.0,49.5,55.8,6.25,44.1,46.32
S00406,86.2,25.3,50.2,60.9,6.14,74.3,64.94
S00407,69.3,18.8,49.5,60.4,7.24,60.8,51.94
S00408,78.6,12.7,48.5,57.5,6.3,25.1,48.89
S00409,81.2,26.1,59.9,76.6,9.51,63.1,66.75
S00410,85.1,19.4,62.9,72.3,7.76,38.2,62.75
S00411,87.1,18.0,58.8,56.4,8.67,44.6,72.44
S00412,68.8,19.2,49.9,50.4,7.14,74.4,50.98
S00413,64.7,10.5,40.1,47.5,6.13,70.3,45.29
S00414,92.8,14.3,49.7,67.7,5.93,76.9,52.54
S00415,83.3,18.0,57.1,61.4,6.41,54.5,50.49
S00416,72.5,16.6,51.6,63.8,7.92,72.7,58.8
S00417,95.5,26.9,62.4,78.8,8.12,43.3,74.91
S00418,81.2,19.5,56.2,70.3,8.22,49.8,58.13
S00419,91.8,24.0,50.0,61.5,5.71,48.5,53.19
S00420,80.7,18.1,43.9,55.0,7.5,55.5,46.74
S00421,100.0,25.4,66.1,68.1,6.27,29.3,69.87
S00422,97.6,20.8,66.1,91.1,7.98,50.5,80.3
S00423,77.5,18.1,60.6,69.9,8.07,84.0,57.4
S00424,89.7,17.9,44.3,70.0,6.09,33.1,55.68
S00425,86.5,11.3,64.1,67.3,8.66,28.4,69.5
S00426,93.7,21.5,76.6,89.8,10.0,30.0,76.81
S00427,70.4,17.7,58.4,63.0,8.5,100.0,63.38
S00428,86.9,14.5,62.4,68.7,7.3,64.3,66.47
S00429,90.6,25.7,61.3,70.2,7.12,49.6,66.37
S00430,62.4,9.2,38.3,46.2,7.25,56.4,42.51
S00431,68.2,15.0,47.9,51.8,6.59,59.6,54.97
S00432,59.6,25.2,43.0,56.1,7.8,42.2,48.47
S00433,77.3,20.2,44.3,54.7,6.13,44.7,46.01
S00434,87.2,17.7,49.2,60.9,5.23,51.8,53.6
